"Timestamp","Username","What is your gender ?","Which age group do you belong to ?","How much time do you spend on your Devices ?","How many devices do you currently use ?","Does technology affect the way go about your daily tasks ?","Do you consider sharing your private information to the world ?","Do you trust social media companies with giving out personal information which states is “important” for the improvement of their service ?","Do you trust social media applications with your information ?","Would you consider technology companies to keep your data private and not use it against you in any way ?","Will you change the way you look at social media companies if they would use your data to track what you have been up to ?","Do you think we have control over what we perceive and see online and are technology companies in control ?","Do you think technology companies responsible for the health, safety and wellbeing of users ?","Do you agree on sharing your data for research purposes only ?"
"2020/02/04 9:24:42 am GMT","fuck@you.chu","","","Yes","Throw you social media in the bin. 420 blaze it.","i wont tell you.","GDPR doesn't allow you to.","Maybe","Yes","They can suck my cock.","No","Just how we all percieve reality in different ways, i think what we perceive online is affecting us differently.","No",""
"2020/02/04 9:26:00 am GMT","baba@chus.co.idiot","","","No","Maybe","No","No","Maybe","Maybe","Yes","Maybe","Maybe","Yes",""
"2020/02/28 9:32:54 pm GMT","","Female","","6+ hours","3-6 devices","Yes","No","No","Maybe","Maybe","Maybe","No","Maybe","Yes"
"2020/03/05 10:53:20 pm GMT","","Female","20-24 years","6+ hours","3-6 devices","Yes","No","No","No","No","Yes","No","Maybe","Maybe"
"2020/03/17 9:26:20 am GMT","","Male","16-18 years","6+ hours","10+ devices","Yes","Maybe","No","Yes","Maybe","Maybe","No","No","Yes"
"2020/03/17 10:02:58 am GMT","","Female","16-18 years","6+ hours","6-8 devices","No","No","Yes","Maybe","Maybe","Yes","No","Maybe","Yes"
"2020/03/17 10:03:31 am GMT","","Male","18-20 years","6+ hours","3-6 devices","No","Yes","No","No","Yes","No","Yes","No","Yes"
"2020/03/17 10:03:53 am GMT","","Male","18-20 years","3-6 hours","3-6 devices","No","No","Yes","No","No","Yes","No","No","Yes"
"2020/03/17 10:04:18 am GMT","","Female","18-20 years","6+ hours","10+ devices","No","Yes","No","No","Yes","No","Yes","No","Yes"
"2020/03/17 10:04:45 am GMT","","Male","16-18 years","3-6 hours","3-6 devices","No","Yes","Maybe","No","Yes","Yes","Yes","No","Yes"
